Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-12-07,7738.5,7771.25,7685.4501953125,7701.7001953125,135100,0.0,0.0
2015-12-08,7695.5,7702.85009765625,7606.89990234375,7612.5,140000,0.0,0.0
2015-12-09,7643.2998046875,7691.9501953125,7610.0,7683.2998046875,140800,0.0,0.0
2015-12-10,7699.60009765625,7703.0498046875,7575.2998046875,7610.4501953125,167800,0.0,0.0
2015-12-14,7659.14990234375,7705.0,7625.10009765625,7700.89990234375,134300,0.0,0.0
2015-12-15,7725.25,7776.60009765625,7715.75,7750.89990234375,154300,0.0,0.0
2015-12-16,7783.0498046875,7852.89990234375,7737.5498046875,7844.35009765625,175900,0.0,0.0
2015-12-17,7828.89990234375,7836.14990234375,7753.35009765625,7761.9501953125,191400,0.0,0.0
2015-12-21,7829.39990234375,7846.2998046875,7776.85009765625,7786.10009765625,125700,0.0,0.0
2015-12-22,7830.4501953125,7871.4501953125,7826.10009765625,7865.9501953125,117900,0.0,0.0
2015-12-23,7888.75,7888.75,7835.5,7861.0498046875,93500,0.0,0.0
2015-12-28,7929.2001953125,7942.14990234375,7902.75,7928.9501953125,113000,0.0,0.0
2015-12-29,7938.60009765625,7944.75,7889.85009765625,7896.25,106800,0.0,0.0
2015-12-30,7897.7998046875,7955.5498046875,7891.14990234375,7946.35009765625,150900,0.0,0.0
2016-01-04,7828.39990234375,7831.2001953125,7763.25,7784.64990234375,145200,0.0,0.0
2016-01-05,7788.0498046875,7800.9501953125,7721.2001953125,7741.0,147100,0.0,0.0
2016-01-06,7673.35009765625,7674.9501953125,7556.60009765625,7568.2998046875,188900,0.0,0.0
2016-01-07,7611.64990234375,7634.10009765625,7581.0498046875,7601.35009765625,157400,0.0,0.0
2016-01-11,7587.2001953125,7588.2998046875,7487.7998046875,7510.2998046875,163900,0.0,0.0
2016-01-12,7557.89990234375,7590.9501953125,7425.7998046875,7562.39990234375,215200,0.0,0.0
2016-01-13,7467.39990234375,7604.7998046875,7443.7998046875,7536.7998046875,200800,0.0,0.0
2016-01-14,7561.64990234375,7566.5,7427.2998046875,7437.7998046875,197500,0.0,0.0
2016-01-19,7357.0,7470.89990234375,7241.5,7309.2998046875,225600,0.0,0.0
2016-01-20,7376.64990234375,7398.7001953125,7250.0,7276.7998046875,240700,0.0,0.0
2016-01-21,7355.7001953125,7433.39990234375,7327.60009765625,7422.4501953125,229200,0.0,0.0
2016-01-26,7469.60009765625,7477.89990234375,7419.7001953125,7437.75,187600,0.0,0.0
2016-01-27,7426.5,7468.85009765625,7409.60009765625,7424.64990234375,274500,0.0,0.0
2016-01-28,7413.35009765625,7575.64990234375,7402.7998046875,7563.5498046875,298700,0.0,0.0
2016-02-01,7566.64990234375,7576.2998046875,7428.0498046875,7455.5498046875,230200,0.0,0.0
2016-02-02,7392.4501953125,7419.39990234375,7350.2998046875,7361.7998046875,192000,0.0,0.0
2016-02-03,7411.4501953125,7457.0498046875,7365.9501953125,7404.0,222700,0.0,0.0
2016-02-04,7418.25,7503.14990234375,7406.64990234375,7489.10009765625,249800,0.0,0.0
2016-02-08,7303.9501953125,7323.4501953125,7275.14990234375,7298.2001953125,212100,0.0,0.0
2016-02-09,7264.2998046875,7271.85009765625,7177.75,7215.7001953125,246900,0.0,0.0
2016-02-10,7203.60009765625,7208.64990234375,6959.9501953125,6976.35009765625,292300,0.0,0.0
2016-02-11,7023.64990234375,7034.7998046875,6869.0,6980.9501953125,333900,0.0,0.0
2016-02-16,7058.85009765625,7123.7001953125,6960.64990234375,7108.4501953125,260000,0.0,0.0
2016-02-17,7177.39990234375,7215.10009765625,7127.85009765625,7191.75,246700,0.0,0.0
2016-02-18,7170.5498046875,7226.85009765625,7145.9501953125,7210.75,192300,0.0,0.0
2016-02-22,7240.2998046875,7241.7001953125,7090.7001953125,7109.5498046875,194400,0.0,0.0
2016-02-23,7075.0,7090.7998046875,7009.75,7018.7001953125,199700,0.0,0.0
2016-02-24,7029.85009765625,7034.2001953125,6961.39990234375,6970.60009765625,283100,0.0,0.0
2016-02-25,7039.2998046875,7052.89990234375,6985.10009765625,7029.75,206700,0.0,0.0
2016-02-29,7038.25,7235.5,7035.10009765625,7222.2998046875,275100,0.0,0.0
2016-03-01,7321.7001953125,7380.35009765625,7308.14990234375,7368.85009765625,338500,0.0,0.0
2016-03-02,7429.5498046875,7483.9501953125,7406.0498046875,7475.60009765625,278600,0.0,0.0
2016-03-03,7505.39990234375,7505.89990234375,7444.10009765625,7485.35009765625,281700,0.0,0.0
2016-03-07,7486.39990234375,7527.14990234375,7442.14990234375,7485.2998046875,257000,0.0,0.0
2016-03-08,7436.10009765625,7539.0,7424.2998046875,7531.7998046875,245100,0.0,0.0
2016-03-09,7545.35009765625,7547.10009765625,7447.39990234375,7486.14990234375,224700,0.0,0.0
2016-03-10,7484.85009765625,7543.9501953125,7460.60009765625,7510.2001953125,198700,0.0,0.0
2016-03-14,7535.85009765625,7545.2001953125,7452.7998046875,7460.60009765625,193700,0.0,0.0
2016-03-15,7457.0498046875,7508.0,7405.14990234375,7498.75,195400,0.0,0.0
2016-03-16,7557.39990234375,7585.2998046875,7479.39990234375,7512.5498046875,239600,0.0,0.0
2016-03-17,7534.64990234375,7613.60009765625,7517.89990234375,7604.35009765625,237400,0.0,0.0
2016-03-21,7695.5498046875,7728.2001953125,7643.7998046875,7714.89990234375,208900,0.0,0.0
2016-03-22,7717.4501953125,7726.85009765625,7670.60009765625,7716.5,199600,0.0,0.0
2016-03-28,7606.5498046875,7652.89990234375,7582.25,7597.0,216800,0.0,0.0
2016-03-29,7651.10009765625,7741.9501953125,7643.4501953125,7735.2001953125,232600,0.0,0.0
2016-03-30,7727.64990234375,7777.60009765625,7702.0,7738.39990234375,380100,0.0,0.0
2016-03-31,7718.0498046875,7740.14990234375,7666.10009765625,7713.0498046875,183900,0.0,0.0
2016-04-04,7736.2998046875,7736.2998046875,7588.64990234375,7603.2001953125,203800,0.0,0.0
2016-04-05,7636.0498046875,7638.64990234375,7591.75,7614.35009765625,165600,0.0,0.0
2016-04-06,7630.39990234375,7630.75,7535.85009765625,7546.4501953125,234400,0.0,0.0
2016-04-07,7542.35009765625,7569.35009765625,7526.7001953125,7555.2001953125,143400,0.0,0.0
2016-04-11,7669.25,7717.39990234375,7663.35009765625,7708.9501953125,163400,0.0,0.0
2016-04-12,7777.14990234375,7864.7998046875,7772.2001953125,7850.4501953125,220400,0.0,0.0
2016-04-19,7950.0498046875,7950.39990234375,7877.5498046875,7914.75,205300,0.0,0.0
2016-04-20,7953.64990234375,7978.4501953125,7884.10009765625,7912.0498046875,223700,0.0,0.0
2016-04-21,7891.7998046875,7923.35009765625,7873.35009765625,7899.2998046875,183300,0.0,0.0
2016-04-25,7828.14990234375,7974.5,7822.5498046875,7962.64990234375,202400,0.0,0.0
2016-04-26,7942.0,7991.0,7940.5498046875,7979.89990234375,206800,0.0,0.0
2016-04-27,7967.39990234375,7992.0,7834.4501953125,7847.25,292500,0.0,0.0
2016-04-28,7844.25,7889.0498046875,7788.7001953125,7849.7998046875,243700,0.0,0.0
2016-05-02,7824.7998046875,7890.25,7735.14990234375,7747.0,186500,0.0,0.0
2016-05-03,7724.14990234375,7749.0,7697.25,7706.5498046875,199700,0.0,0.0
2016-05-04,7731.0,7777.5498046875,7706.85009765625,7735.5,185100,0.0,0.0
2016-05-05,7717.64990234375,7738.89990234375,7678.35009765625,7733.4501953125,163600,0.0,0.0
2016-05-09,7873.5498046875,7896.89990234375,7837.7001953125,7887.7998046875,162000,0.0,0.0
2016-05-10,7804.64990234375,7893.10009765625,7780.89990234375,7848.85009765625,214100,0.0,0.0
2016-05-11,7871.4501953125,7916.0498046875,7849.64990234375,7900.39990234375,152700,0.0,0.0
2016-05-12,7881.0,7881.0,7784.2001953125,7814.89990234375,179500,0.0,0.0
2016-05-16,7896.85009765625,7940.10009765625,7879.7001953125,7890.75,183400,0.0,0.0
2016-05-17,7846.75,7882.0498046875,7810.75,7870.14990234375,156400,0.0,0.0
2016-05-18,7875.5,7876.2001953125,7766.7998046875,7783.39990234375,170400,0.0,0.0
2016-05-19,7792.2001953125,7812.39990234375,7735.75,7749.7001953125,157000,0.0,0.0
2016-05-23,7738.0498046875,7761.5498046875,7715.7998046875,7748.85009765625,147000,0.0,0.0
2016-05-24,7811.7998046875,7941.2001953125,7809.2998046875,7934.89990234375,176200,0.0,0.0
2016-05-25,7974.4501953125,8083.0,7948.5,8069.64990234375,264300,0.0,0.0
2016-05-26,8081.9501953125,8164.2001953125,8077.0498046875,8156.64990234375,260900,0.0,0.0
2016-05-31,8179.2001953125,8215.349609375,8171.0498046875,8179.9501953125,194400,0.0,0.0
2016-06-01,8156.89990234375,8229.5,8154.75,8218.9501953125,181700,0.0,0.0
2016-06-02,8246.2001953125,8262.0,8209.849609375,8220.7998046875,379000,0.0,0.0
2016-06-06,8235.5498046875,8294.9501953125,8216.400390625,8266.4501953125,241900,0.0,0.0
2016-06-07,8285.5,8288.900390625,8252.0498046875,8273.0498046875,174300,0.0,0.0
2016-06-08,8273.349609375,8273.349609375,8184.60009765625,8203.599609375,174900,0.0,0.0
2016-06-09,8180.25,8265.599609375,8162.85009765625,8170.0498046875,182200,0.0,0.0
2016-06-13,8134.39990234375,8134.9501953125,8069.5,8108.85009765625,145500,0.0,0.0
2016-06-14,8139.39990234375,8213.2001953125,8123.14990234375,8206.599609375,169800,0.0,0.0
2016-06-15,8180.64990234375,8180.64990234375,8074.4501953125,8140.75,189200,0.0,0.0
2016-06-16,8176.64990234375,8195.25,8135.7998046875,8170.2001953125,166600,0.0,0.0
2016-06-20,8255.400390625,8257.25,8202.150390625,8219.900390625,137000,0.0,0.0
2016-06-21,8213.650390625,8238.349609375,8153.25,8203.7001953125,136100,0.0,0.0
2016-06-22,8201.150390625,8285.599609375,8188.2998046875,8270.4501953125,154100,0.0,0.0
2016-06-23,8029.10009765625,8100.7001953125,7927.0498046875,8088.60009765625,297600,0.0,0.0
2016-06-27,8096.0498046875,8146.35009765625,8086.85009765625,8127.85009765625,170400,0.0,0.0
2016-06-28,8173.10009765625,8212.400390625,8157.64990234375,8204.0,147000,0.0,0.0
2016-06-29,8260.25,8308.150390625,8242.099609375,8287.75,279400,0.0,0.0
2016-06-30,8313.0498046875,8356.75,8308.650390625,8328.349609375,165500,0.0,0.0
2016-07-06,8342.0,8361.9501953125,8317.7001953125,8337.900390625,155500,0.0,0.0
